"id","Plate","Plate Rep","Genotype","Salt","Microbes","Row","Column","lon","lat","conc_corrected","BZT_percent_d","X10.FN","od600","od750","BZTalanine","glycosylatedBZT","BZTacetylalanine","aniline","amino_3_phenol","phenazine","methylBZT","methoxyBZT","km","density"
"23.2.B3",23,2,"Wlp","0","Yes","B",3,82.464411,42.545407,0.0669878654408233,93.3012134559177,3,0.238,0.234,0,0,0,1.3278741318453e-11,1.24900151575483e-11,0,0,2.48068787409079e-12,279.136974791089,1313.03077520457
"23.2.B6",23,2,"Mnt","0","Yes","B",6,76.7704,42.98299,0.0324260804332182,96.7573919566782,4,0.1045,0.102,0,8.75949120861295e-13,0,9.63466865050953e-12,0,0,4.49872764631102e-12,9.40088640561745e-13,224.368275312104,1575.11063515688
"23.2.D3",23,2,"Wlp","0","No","D",3,82.464411,42.545407,0.0391072538412197,96.089274615878,2,0.287,0.2365,0,0,0,2.53625034632982e-11,0,0,0,4.24406515108137e-12,279.136974791089,1313.03077520457
"23.2.D6",23,2,"Mnt","0","No","D",6,76.7704,42.98299,0.0402316361348893,95.9768363865111,5,0.044,0.0415,0,3.22836895853739e-12,1.15856255087689e-12,8.39113568997612e-12,0,3.56868763359129e-12,0,7.05595686079754e-13,224.368275312104,1575.11063515688
"24.1.A1",24,1,"LnH","0","No","A",1,81.305495,44.900322,0.00968586036791169,99.0314139632088,2,0.1205,0.117,0,0,1.10108221630773e-12,6.50401752835115e-12,0,0,0,1.09062454730647e-12,206.742414009813,980.562926514353
"24.1.A4",24,1,"HBE","0","No","A",4,79.477222,43.620278,0.0509280956322677,94.9071904367732,6,0.042,0.042,1.43176158539168e-11,8.74618101000632e-12,0,4.25663319413466e-12,0,0,0,1.11794020219961e-12,8.41488677396755,6771.21563203706
"24.1.A5",24,1,"Brk","0","No","A",5,78.978165,44.120014,0.08473017775183,91.526982224817,5,0.0425,0.0415,8.58946870023052e-12,5.945268609108e-12,1.47654441304869e-12,1.13244940713083e-11,0,0,0,0,61.2891573433552,1777.91505391307
"24.1.C1",24,1,"LnH","0","Yes","C",1,81.305495,44.900322,0.0979311731084795,90.2068826891521,1,0.0435,0.0415,0,8.69924816296094e-13,1.55322285369633e-12,1.04375948943345e-11,0,6.33723543590486e-12,0,4.41743791959514e-12,206.742414009813,980.562926514353
"24.1.C4",24,1,"HBE","0","Yes","C",4,79.477222,43.620278,0.0910057592544024,90.8994240745598,3,0.075,0.0665,6.77213166474283e-12,7.64504966706425e-12,0,1.53261369695306e-11,8.43714065788559e-12,0,0,3.86478150774993e-12,8.41488677396755,6771.21563203706
"24.1.C5",24,1,"Brk","0","Yes","C",5,78.978165,44.120014,0.06079387551736,93.920612448264,3,0.0425,0.0425,0,3.17246066819324e-12,0,1.45386279552859e-11,0,0,0,0,61.2891573433552,1777.91505391307
"24.2.A1",24,2,"LnH","0.8","Yes","A",1,81.305495,44.900322,0.0233106545358177,97.6689345464182,2,0.0495,0.044,0,0,2.31169839367991e-12,1.95771417286967e-11,0,0,0,1.20769574059591e-12,206.742414009813,980.562926514353
"24.2.A4",24,2,"HBE","0.8","Yes","A",4,79.477222,43.620278,0.0624724415034617,93.7527558496538,5,0.042,0.041,0,6.4795836415245e-12,0,5.52151421346999e-12,0,0,0,2.90112591758639e-12,8.41488677396755,6771.21563203706
"24.2.A5",24,2,"Brk","0.8","Yes","A",5,78.978165,44.120014,0.0418614692923402,95.813853070766,6,0.051,0.0465,0,5.46218018667425e-12,0,1.16688540623216e-11,0,0,0,0,61.2891573433552,1777.91505391307
"24.2.B1",24,2,"LnH","0.8","No","B",1,81.305495,44.900322,0.0169237825770816,98.3076217422918,2,0.1395,0.108,8.32835657926476e-12,0,0,2.19425707807949e-11,0,0,0,8.72099308161337e-13,206.742414009813,980.562926514353
"24.2.B4",24,2,"HBE","0.8","No","B",4,79.477222,43.620278,0.109660712872299,89.0339287127701,0,0.199,0.1595,1.1459809745606e-10,0,1.33238764196066e-12,1.30279491814655e-11,0,0,0,2.78016427309194e-12,8.41488677396755,6771.21563203706
"24.2.B5",24,2,"Brk","0.8","No","B",5,78.978165,44.120014,0.0963814574924618,90.3618542507538,4,0.046,0.0425,1.11303468226678e-11,6.69667973213201e-12,0,8.81882968434553e-12,0,0,0,5.03811781636533e-13,61.2891573433552,1777.91505391307
"26.1.A4",26,1,"Mdv","0","No","A",4,79.7357,43.6211,0.0648271136331872,93.5172886366813,3,0.0545,0.0635,0,0,0,5.89426024565928e-12,0,0,7.84500283354044e-12,0,28.622945500481,8397.53878752376
"26.1.A5",26,1,"Okb","0","No","A",5,79.439167,43.824444,0.102730506544829,89.7269493455171,3,0.0535,0.0495,0,7.92073860163757e-12,0,4.24082455908972e-12,0,0,4.05256967967295e-12,4.73340614582014e-13,19.5870370721657,9343.00200719548
"26.2.B4",26,2,"Mdv","0","Yes","B",4,79.7357,43.6211,0.110936312843049,88.9063687156951,2,0.065,0.0545,0,0,0,6.20245485946991e-12,0,0,0,4.27276387972837e-13,28.622945500481,8397.53878752376
"26.2.B5",26,2,"Okb","0","Yes","B",5,79.439167,43.824444,0.141452751044755,85.8547248955245,4,0.044,0.041,9.62819684921739e-12,8.42702398408329e-12,0,4.27218333086649e-12,0,0,0,4.51460618583696e-13,19.5870370721657,9343.00200719548
"26.2.C4",26,2,"Mdv","0.8","Yes","C",4,79.7357,43.6211,0.103114755744894,89.6885244255106,2,0.087,0.068,0,0,0,2.04177087410396e-12,8.30386770402844e-12,0,0,7.32694550061045e-13,28.622945500481,8397.53878752376
"26.2.C5",26,2,"Okb","0.8","Yes","C",5,79.439167,43.824444,0.12659160792151,87.340839207849,7,0.0515,0.048,0,8.9959239009293e-12,0,3.42870333517425e-12,0,0,0,0,19.5870370721657,9343.00200719548
"26.2.D4",26,2,"Mdv","0.8","No","D",4,79.7357,43.6211,0.0695708074561211,93.0429192543879,1,0.056,0.0465,0,0,0,1.9825469596388e-11,0,0,0,0,28.622945500481,8397.53878752376
"26.2.D5",26,2,"Okb","0.8","No","D",5,79.439167,43.824444,0.147446314924692,85.2553685075308,3,0.045,0.0425,1.40139779046032e-11,5.32926261664831e-12,0,6.02297655427859e-12,0,0,0,3.97162696945718e-13,19.5870370721657,9343.00200719548
"27.1.B4",27,1,"Stn","0","Yes","B",4,78.702247,44.281094,0.0736297361377932,92.6370263862207,7,0.0525,0.0445,0,1.20002896040523e-11,0,6.48471063075751e-12,0,0,0,3.33719647715182e-12,88.6683329528279,868.814031163823
"27.1.C4",27,1,"Stn","0.8","Yes","C",4,78.702247,44.281094,0.0734662607945142,92.6533739205486,5,0.0655,0.08,1.39356057487584e-11,9.65465877503518e-12,0,8.53902842770085e-12,1.07093659087189e-11,0,4.60224661642588e-12,4.07133156517671e-12,88.6683329528279,868.814031163823
"27.2.A4",27,2,"Stn","0.8","No","A",4,78.702247,44.281094,0.0906753748784745,90.9324625121526,2,0.143,0.1285,6.28708001676672e-12,2.93415547104807e-12,0,5.30531207717311e-12,0,0,0,2.06053888514432e-12,88.6683329528279,868.814031163823
"27.2.D4",27,2,"Stn","0","No","D",4,78.702247,44.281094,0.0680017888648286,93.1998211135171,2,0.095,0.0845,1.17738235337009e-11,3.95240733042906e-12,0,3.68823564154109e-12,0,8.78080237783162e-12,0,7.56786530045791e-13,88.6683329528279,868.814031163823
"29.1.B3",29,1,"Brd","0.8","Yes","B",3,79.9236,44.2233,0.0695708074561211,93.0429192543879,3,0.1885,0.143,0,5.1104868739383e-12,1.15114384253986e-12,2.86195822085395e-11,1.22220661161247e-11,0,0,9.05485108586288e-13,76.8374863669681,1157.05331460029
"29.1.B4",29,1,"Nnq","0.8","Yes","B",4,78.9723,44.17564,0.0387968788107338,96.1203121189266,3,0.0445,0.042,0,7.66782779876747e-13,0,1.09599626765503e-11,0,0,0,6.1827712436226e-13,66.8435025836837,1100.91342111077
